Name,|V|,|E|,Rand1,Greedy1,Local1_Best,Local1_Iter,GRASP_Best,GRASP_Iter,KnownBest,Time_Rand_ms,Time_Greedy_ms,Time_Local_ms,Time_GRASP_ms
G1,800,19176,9567,10956,11254,1,11392,3,12078,6,6,4274,8675
G2,800,19176,9611,11030,11450,1,11399,1,12084,8,7,5865,7694
G3,800,19176,9684,11012,11370,1,11370,4,12077,5,8,4786,8719
G11,800,1600,40,434,472,1,446,5,627,0,1,61,752
G12,800,1600,-28,418,450,1,442,3,621,1,0,53,758
G13,800,1600,18,432,472,1,466,4,645,1,1,65,761
G14,800,4694,2358,2890,2956,1,2964,2,3187,2,2,342,1849
G15,800,4661,2421,2873,2950,1,2927,2,3169,1,3,413,1830
G16,800,4672,2333,2878,2944,1,2941,4,3172,3,4,441,1750
G22,2000,19990,10075,12346,12806,1,12824,3,14123,9,4,9705,23949
G23,2000,19990,10092,12291,12789,1,12887,4,14129,12,11,9089,21634
G24,2000,19990,9920,12367,12774,1,12873,5,14131,8,5,7299,23280
G32,2000,4000,44,1058,1144,1,1122,2,1560,2,1,350,4857
G33,2000,4000,-28,1000,1098,1,1100,4,1537,4,1,382,4954
G34,2000,4000,-16,988,1116,1,1070,2,1541,4,1,492,5002
G35,2000,11778,5891,7252,7437,1,7376,5,8000,5,5,2547,12250
G36,2000,11766,5860,7225,7402,1,7379,2,7996,5,4,2483,12610
G37,2000,11785,5957,7264,7424,1,7414,1,8009,8,4,2885,12710
G43,1000,9990,4959,6188,6402,1,6388,5,7027,4,4,2292,6433
G44,1000,9990,5092,6157,6373,1,6445,5,7022,5,3,1975,7003
G45,1000,9990,4970,6179,6404,1,6412,2,7020,4,4,2569,5760
G48,3000,6000,2902,6000,6000,1,5128,3,6000,4,2,36,11551
G49,3000,6000,3018,6000,6000,1,5116,5,6000,5,1,28,10951
G50,3000,6000,2972,5880,5880,1,5090,4,5988,3,2,29,11562
