RunTimestamp,Name,|V|,|E|,Rand,Greedy,SemiGreedy,LocalAvg,LocalIterAvg,GRASP,RandTime,GreedyTime,SemiTime,LocalTimeAvg,GRASPTime
 ,50,3000,6000,3050,5880,4882,5077.6,0,5144,23,4,2428,2627.4,65211
 ,19,800,4661,-93,681,641,764.2,0,782,5,4,270,376,9108
 ,34,2000,4000,6,988,962,1056,0,1088,6,3,1090,1149.2,28174
 ,2,800,19176,9563,11030,11038,11334.6,0,11438,14,11,682,1407.6,36804
 ,26,2000,19990,9989,12355,12251,12799.6,0,12883,19,13,2145,4144.4,76037
 ,24,2000,19990,9895,12367,12326,12813.4,0,12854,9,5,945,1656,41800
 ,21,800,4667,-14,704,672,770.8,0,809,2,2,113,160.8,4179
 ,22,2000,19990,9971,12346,12422,12827.2,0,12885,7,5,967,1741.6,44647
 ,13,800,1600,-6,432,422,456.8,0,468,2,0,76,80.4,2001
 ,10,800,19176,-141,1350,1355,1729.4,0,1794,5,5,281,599.6,16894
